,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
178,SAIL,"SailPoint, Inc.",,23.04 +0.73 (+3.27%),0.73,+3.27%,801642,2.619M,12.825B,--,+1.41%,15.05 26.35
179,ADMA,"ADMA Biologics, Inc.",,15.43 +0.48 (+3.21%),0.48,+3.21%,1.221M,3.328M,3.682B,18.15,-9.06%,13.50 25.67
180,VCYT,"Veracyte, Inc.",,35.05 +1.10 (+3.24%),1.1,+3.24%,216376,1.42M,2.757B,103.09,-2.22%,22.61 47.32
181,OSK,Oshkosh Corporation,,135.74 +4.28 (+3.26%),4.28,+3.26%,318818,638198,8.687B,13.63,+24.28%,76.82 144.30
182,ATEC,"Alphatec Holdings, Inc.",,14.25 +0.44 (+3.19%),0.44,+3.19%,910574,2.237M,2.109B,--,+140.17%,5.08 16.70
183,UEC,Uranium Energy Corp.,,16.31 +0.65 (+4.15%),0.65,+4.15%,11.212M,16.343M,7.88B,--,+96.73%,3.85 17.08
184,MTSI,"MACOM Technology Solutions Holdings, Inc.",,135.97 +4.43 (+3.37%),4.43,+3.37%,289993,909307,10.126B,--,+15.72%,84.00 152.50
185,SMTC,Semtech Corporation,,69.62 +1.99 (+2.94%),1.99,+2.94%,254315,1.855M,6.041B,110.51,+50.22%,24.05 79.52
186,FRO,Frontline plc,,22.69 +0.68 (+3.11%),0.68,+3.11%,1.138M,2.314M,5.052B,21.01,+0.55%,12.40 24.28
187,W,Wayfair Inc.,,81.75 +2.55 (+3.21%),2.55,+3.21%,1.194M,4.238M,10.599B,--,+45.78%,20.41 91.77
188,CIEN,Ciena Corporation,,170.07 +5.25 (+3.19%),5.25,+3.19%,1.006M,2.385M,24.039B,175.34,+147.59%,49.21 172.86
189,FIG,"Figma, Inc.",,62.42 +1.60 (+2.63%),1.6,+2.63%,4.887M,13.25M,30.572B,--,-47.34%,49.53 142.92
190,GENI,Genius Sports Limited,,12.09 +0.37 (+3.16%),0.37,+3.16%,2.874M,5.386M,2.883B,--,+54.21%,6.72 13.73
191,BURL,"Burlington Stores, Inc.",,282.48 +8.39 (+3.06%),8.39,+3.06%,248504,983742,17.806B,33.35,+5.78%,212.92 309.00
192,AUR,"Aurora Innovation, Inc.",,5.58 +0.16 (+2.95%),0.16,+2.95%,11.477M,18.977M,10.297B,--,-12.86%,4.75 10.77
193,EQT,EQT Corporation,,54.96 +1.67 (+3.12%),1.67,+3.12%,2.004M,8.432M,34.295B,28.92,+45.28%,35.45 61.02
194,LOGI,Logitech International S.A.,,108.21 +3.27 (+3.12%),3.27,+3.12%,422462,585815,15.939B,25.83,+21.84%,64.73 114.94
195,TEM,"Tempus AI, Inc.",,92.61 +2.74 (+3.05%),2.74,+3.05%,2.955M,9.859M,16.088B,43.07,+83.22%,31.36 104.32
196,ARE,"Alexandria Real Estate Equities, Inc.",,77.33 +2.26 (+3.01%),2.26,+3.01%,606460,1.555M,13.202B,--,-38.80%,67.37 123.10
197,SKY,"Champion Homes, Inc.",,70.13 +2.08 (+3.05%),2.08,+3.05%,176415,719887,3.964B,18.65,-31.08%,59.44 116.49
198,B,Barrick Mining Corporation,,34.33 +1.03 (+3.09%),1.03,+3.09%,9.83M,19.122M,58.619B,21.59,+67.00%,15.11 36.10
199,SKE,Skeena Resources Limited,,19.84 +0.60 (+3.12%),0.6,+3.12%,625187,673940,2.402B,--,+104.46%,7.32 20.77
200,,,,,,,,,,,,
