,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
180,KTB,"Kontoor Brands, Inc.",,84.54 +2.70 (+3.30%),2.7,+3.30%,2990,707459,4.698B,18.91,+1.71%,50.00 96.80
181,NOK,Nokia Oyj,,5.74 +0.09 (+1.59%),0.09,+1.59%,795934,28.287M,30.849B,30.18,+30.18%,3.91 5.74
182,KN,Knowles Corporation,,23.59 +0.75 (+3.28%),0.75,+3.28%,1605,654059,2.026B,78.63,+31.71%,12.19 24.54
183,XENE,Xenon Pharmaceuticals Inc.,,42.12 +0.22 (+0.53%),0.22,+0.53%,4937,828181,3.248B,--,-3.26%,26.74 46.00
184,REVG,"REV Group, Inc.",,57.73 -0.05 (-0.09%),-0.05,-0.09%,10343,761596,2.817B,27.23,+93.73%,25.76 64.47
185,VNT,Vontier Corporation,,40.69 +0.26 (+0.66%),0.26,+0.66%,5781,992587,5.97B,15.47,+14.47%,27.22 43.88
186,GGAL,Grupo Financiero Galicia S.A.,,33.83 +0.57 (+1.71%),0.57,+1.71%,14547,2.689M,5.687B,4.89,-31.87%,25.89 74.00
187,CNK,"Cinemark Holdings, Inc.",,27.10 +0.07 (+0.26%),0.07,+0.26%,14199,3.998M,3.117B,14.04,-6.67%,23.12 36.28
188,KB,KB Financial Group Inc.,,80.50 -0.76 (-0.93%),-0.76,-0.93%,1345,178346,29.314B,7.80,+19.70%,46.38 92.39
189,SMTC,Semtech Corporation,,70.08 +0.29 (+0.42%),0.29,+0.42%,6792,1.855M,6.082B,111.25,+58.76%,24.05 79.52
190,RSI,"Rush Street Interactive, Inc.",,20.50 +0.04 (+0.20%),0.04,+0.20%,9281,1.69M,4.683B,97.62,+83.74%,9.54 22.65
191,JLL,Jones Lang LaSalle Incorporated,,305.99 +2.05 (+0.68%),2.05,+0.68%,4236,403359,14.498B,26.27,+14.45%,194.36 322.37
192,ACMR,"ACM Research, Inc.",,39.86 +0.54 (+1.37%),0.54,+1.37%,10430,1.735M,2.558B,24.01,+106.89%,13.87 45.12
193,SUN,Sunoco LP,,52.45 +0.05 (+0.10%),0.05,+0.10%,3741,431954,7.165B,45.22,+1.08%,47.98 59.88
194,SBSW,Sibanye Stillwater Limited,,12.31 +0.22 (+1.82%),0.22,+1.82%,505678,8.567M,8.711B,--,+197.05%,3.05 12.39
195,VSCO,Victoria's Secret & Co.,,30.49 +0.12 (+0.40%),0.12,+0.40%,31707,2.895M,2.444B,16.22,+9.99%,13.76 48.73
196,PSLV,Sprott Physical Silver Trust,,17.70 -0.01 (-0.06%),-0.01,-0.06%,580728,38.663M,9.822B,7.76,+65.45%,9.60 17.74
197,JBL,Jabil Inc.,,209.46 +2.62 (+1.27%),2.62,+1.27%,22507,1.43M,22.479B,35.38,+64.29%,108.66 237.14
198,MENS,Jyong Biotech Ltd.,,58.22 +1.77 (+3.14%),1.77,+3.14%,470,242089,4.426B,--,+475.87%,6.01 67.00
199,LB,LandBridge Company LLC,,53.97 +0.83 (+1.56%),0.83,+1.56%,8425,559014,4.131B,69.19,+0.72%,48.55 87.60
200,,,,,,,,,,,,
