,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
180,NXPI,NXP Semiconductors N.V.,,215.51 +10.14 (+4.94%),10.14,+4.94%,707940,2.536M,54.333B,25.66,-15.64%,148.09 256.62
181,M,"Macy's, Inc.",,17.33 +0.82 (+4.97%),0.82,+4.97%,3.905M,9.101M,4.653B,9.85,+7.35%,9.76 18.47
182,KLAC,KLA Corporation,,"1,030.53 +47.78 (+4.86%)",47.78,+4.86%,369568,986181,135.705B,33.93,+18.45%,"551.33 1,155.00"
183,DLTR,"Dollar Tree, Inc.",,91.96 +4.35 (+4.97%),4.35,+4.97%,3.61M,4.231M,18.758B,17.82,+31.15%,60.49 118.06
184,TECK,Teck Resources Limited,,43.93 +2.07 (+4.95%),2.07,+4.95%,2.462M,5.817M,21.423B,137.28,-17.92%,28.32 51.48
185,MU,"Micron Technology, Inc.",,190.60 +9.00 (+4.96%),9.0,+4.96%,10.695M,23.595M,213.942B,25.11,+67.62%,61.54 201.00
186,TIC,Acuren Corporation,,12.85 +0.59 (+4.85%),0.59,+4.85%,1.402M,3.078M,2.806B,--,+2.17%,8.76 14.94
187,ESI,Element Solutions Inc,,25.12 +1.18 (+4.93%),1.18,+4.93%,539877,1.94M,6.069B,25.37,-8.56%,16.77 29.78
188,AA,Alcoa Corporation,,36.71 +1.69 (+4.83%),1.69,+4.83%,2.641M,6.291M,9.505B,8.66,-16.22%,21.53 47.77
189,VFC,V.F. Corporation,,13.95 +0.66 (+4.97%),0.66,+4.97%,2.662M,8.457M,5.449B,51.67,-31.35%,9.41 29.02
190,RUM,Rumble Inc.,,7.82 +0.36 (+4.89%),0.36,+4.89%,1.53M,3.214M,2.652B,--,+36.38%,5.25 17.40
191,CEG,Constellation Energy Corporation,,385.82 +17.33 (+4.70%),17.33,+4.70%,1.342M,2.36M,120.531B,40.27,+35.60%,161.35 392.18
192,KLIC,"Kulicke and Soffa Industries, Inc.",,40.03 +1.85 (+4.85%),1.85,+4.85%,72125,496800,2.087B,444.78,-18.09%,26.63 52.08
193,QCOM,QUALCOMM Incorporated,,160.98 +7.46 (+4.86%),7.46,+4.86%,4.021M,7.835M,173.692B,15.52,-13.73%,120.80 182.10
194,LRCX,Lam Research Corporation,,137.70 +6.33 (+4.82%),6.33,+4.82%,3.805M,11.895M,173.644B,33.18,+53.29%,56.32 153.70
195,CE,Celanese Corporation,,41.14 +1.85 (+4.71%),1.85,+4.71%,494340,2.146M,4.505B,--,-71.04%,36.29 136.68
196,NEM,Newmont Corporation,,89.26 +4.12 (+4.84%),4.12,+4.84%,5.094M,11.231M,98.053B,16.17,+55.31%,36.86 89.37
197,AMR,"Alpha Metallurgical Resources, Inc.",,167.61 +7.59 (+4.74%),7.59,+4.74%,78521,365704,2.188B,--,-28.50%,97.41 255.04
198,AMAT,"Applied Materials, Inc.",,219.88 +9.93 (+4.73%),9.93,+4.73%,3.12M,8.196M,175.166B,26.24,-1.84%,123.74 226.49
199,CIVI,"Civitas Resources, Inc.",,30.85 +1.37 (+4.65%),1.37,+4.65%,813556,2.674M,2.859B,3.91,-44.44%,22.79 55.35
200,,,,,,,,,,,,
