,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
179,SBCF,Seacoast Banking Corporation of Florida,,31.62 +1.05 (+3.43%),1.05,+3.43%,465027,620448,3.092B,19.40,+11.41%,21.36 32.33
180,EXPE,"Expedia Group, Inc.",,223.12 +7.48 (+3.47%),7.48,+3.47%,1.344M,1.747M,27.603B,27.44,+42.62%,130.01 240.98
181,HWC,Hancock Whitney Corporation,,62.53 +2.04 (+3.37%),2.04,+3.37%,1.141M,797845,5.3B,11.54,+12.50%,43.90 64.66
182,EBC,"Eastern Bankshares, Inc.",,18.86 +0.64 (+3.51%),0.64,+3.51%,4.438M,1.976M,3.747B,--,+7.81%,13.51 19.40
183,ZBH,"Zimmer Biomet Holdings, Inc.",,98.40 +3.31 (+3.48%),3.31,+3.48%,1.127M,1.481M,19.493B,24.00,-9.09%,89.22 114.72
184,LVS,Las Vegas Sands Corp.,,48.03 +1.56 (+3.36%),1.56,+3.36%,5.465M,5.11M,32.97B,24.26,-8.79%,30.18 58.05
185,CGNX,Cognex Corporation,,45.23 +1.49 (+3.41%),1.49,+3.41%,1.395M,2.025M,7.594B,62.82,+10.20%,22.67 47.52
186,FCFS,"FirstCash Holdings, Inc.",,158.93 +5.29 (+3.44%),5.29,+3.44%,247673,327614,7.051B,24.45,+34.68%,100.24 159.00
187,BLK,"BlackRock, Inc.",,"1,194.52 +39.40 (+3.41%)",39.4,+3.41%,1.055M,569868,184.975B,28.89,+14.71%,"773.74 1,209.82"
188,MAIN,Main Street Capital Corporation,,58.46 +1.89 (+3.33%),1.89,+3.33%,759103,579237,5.228B,9.61,+10.88%,47.00 67.77
189,ABNB,"Airbnb, Inc.",,122.89 +4.03 (+3.39%),4.03,+3.39%,5.901M,4.776M,75.238B,29.83,-10.81%,99.88 163.93
190,ENS,EnerSys,,119.47 +3.91 (+3.38%),3.91,+3.38%,593453,342685,4.476B,13.67,+13.75%,76.57 120.59
191,FUN,Six Flags Entertainment Corporation,,21.36 +0.76 (+3.69%),0.76,+3.69%,2.071M,4.082M,2.163B,--,-47.44%,20.00 49.77
192,HGV,Hilton Grand Vacations Inc.,,43.00 +1.39 (+3.34%),1.39,+3.34%,665265,1.042M,3.789B,78.18,+14.79%,30.59 52.08
193,TRMK,Trustmark Corporation,,39.61 +1.28 (+3.34%),1.28,+3.34%,242441,284103,2.391B,11.13,+11.10%,29.77 41.34
194,RNST,Renasant Corporation,,36.57 +1.18 (+3.33%),1.18,+3.33%,496843,551909,3.475B,15.11,+5.61%,26.97 40.40
195,TCBI,"Texas Capital Bancshares, Inc.",,85.27 +2.74 (+3.32%),2.74,+3.32%,268981,459251,3.902B,33.84,+6.39%,59.37 94.61
196,TREX,"Trex Company, Inc.",,53.15 +1.78 (+3.47%),1.78,+3.47%,1.453M,1.648M,5.7B,30.55,-21.28%,49.01 80.74
197,BBT,Beacon Financial Corporation,,25.08 +0.77 (+3.17%),0.77,+3.17%,859502,734842,2.114B,11.94,-12.40%,22.27 32.36
198,MAS,Masco Corporation,,68.13 +2.14 (+3.24%),2.14,+3.24%,1.6M,2.283M,14.264B,18.07,-22.48%,56.55 86.70
199,GBTG,"Global Business Travel Group, Inc.",,7.99 +0.27 (+3.43%),0.27,+3.43%,866994,946601,4.227B,--,-0.77%,5.78 9.60
200,,,,,,,,,,,,
